date,temp,humid,watersensor
2019-06-24T03:07:04, 19.0*C, 79.0%, 0
2019-06-24T04:07:04, 19.0*C, 79.0%, 0
2019-06-24T05:07:04, 19.0*C, 80.0%, 0
2019-06-24T06:07:04, 19.0*C, 80.0%, 0
2019-06-24T07:07:03, 19.0*C, 80.0%, 0
2019-06-24T08:07:04, 18.0*C, 80.0%, 0
2019-06-24T09:07:04, 18.0*C, 80.0%, 0
2019-06-24T10:07:03, 18.0*C, 80.0%, 0
2019-06-24T11:07:04, 18.0*C, 79.0%, 0
2019-06-24T12:07:04, 18.0*C, 79.0%, 0
2019-06-24T13:07:04, 18.0*C, 79.0%, 0
2019-06-24T14:07:07, 18.0*C, 79.0%, 0
2019-06-24T15:07:04, 18.0*C, 78.0%, 0
2019-06-24T16:07:04, 18.0*C, 79.0%, 0
2019-06-24T17:07:04, 18.0*C, 79.0%, 0
2019-06-24T18:07:13, 18.0*C, 77.0%, 0
2019-06-24T19:07:04, 18.0*C, 77.0%, 0
2019-06-24T20:07:04, 18.0*C, 76.0%, 0
2019-06-24T21:07:04, 18.0*C, 76.0%, 0
2019-06-24T22:07:04, 18.0*C, 76.0%, 0
2019-06-24T23:07:06, 18.0*C, 75.0%, 0
2019-06-25T00:07:04, 18.0*C, 74.0%, 0
2019-06-25T01:07:04, 18.0*C, 74.0%, 0
2019-06-25T02:07:04, 18.0*C, 74.0%, 0
2019-06-25T03:07:09, 18.0*C, 75.0%, 0
2019-06-25T04:07:04, 19.0*C, 74.0%, 0
2019-06-25T05:07:03, 18.0*C, 74.0%, 0
2019-06-25T06:07:03, 18.0*C, 74.0%, 0
2019-06-25T07:07:03, 18.0*C, 73.0%, 0
2019-06-25T08:07:06, 18.0*C, 72.0%, 0
2019-06-25T09:07:04, 19.0*C, 72.0%, 0
2019-06-25T10:07:04, 18.0*C, 72.0%, 0
2019-06-25T11:07:03, 18.0*C, 72.0%, 0
2019-06-25T12:07:07, 18.0*C, 71.0%, 0
2019-06-25T13:07:06, 18.0*C, 70.0%, 0
2019-06-25T14:07:04, 18.0*C, 70.0%, 0
2019-06-25T15:07:04, 18.0*C, 70.0%, 0
2019-06-25T16:07:03, 18.0*C, 70.0%, 0
2019-06-25T17:07:04, 18.0*C, 71.0%, 0
2019-06-25T18:07:04, 19.0*C, 72.0%, 0
2019-06-25T19:07:04, 19.0*C, 72.0%, 0
2019-06-25T20:07:03, 19.0*C, 73.0%, 0
2019-06-25T21:07:03, 19.0*C, 73.0%, 0
2019-06-25T22:07:04, 19.0*C, 73.0%, 0
2019-06-25T23:07:07, 19.0*C, 74.0%, 0
2019-06-26T00:07:03, 19.0*C, 73.0%, 0
2019-06-26T01:07:04, 19.0*C, 74.0%, 0
2019-06-26T02:07:04, 19.0*C, 75.0%, 0
2019-06-26T03:07:04, 19.0*C, 75.0%, 0
2019-06-26T04:07:04, 19.0*C, 76.0%, 0
2019-06-26T05:07:04, 19.0*C, 76.0%, 0
2019-06-26T06:07:04, 19.0*C, 76.0%, 0
2019-06-26T07:07:04, 19.0*C, 76.0%, 0
2019-06-26T08:07:04, 19.0*C, 76.0%, 0
2019-06-26T09:07:11, 19.0*C, 76.0%, 0
2019-06-26T10:07:04, 19.0*C, 76.0%, 0
2019-06-26T11:07:04, 19.0*C, 76.0%, 0
